ADC,Channel,VBR,VBR_Error
0,4,6.92375e-310,6.95269e-310
0,5,52.1649,0.0136187
0,6,6.92375e-310,6.95269e-310
0,7,6.92375e-310,6.95269e-310
0,8,52.4613,0.0124387
0,9,51.5682,0.0157979
0,10,6.92375e-310,6.95269e-310
0,11,6.92375e-310,6.95269e-310
0,12,52.8971,0.00192843
0,13,52.6135,0.00144236
0,14,6.92375e-310,6.95269e-310
0,15,6.92375e-310,6.95269e-310
0,20,6.92375e-310,6.95269e-310
0,21,51.9291,0.0150255
0,22,6.92375e-310,6.95269e-310
0,23,50.5933,0.053369
0,24,51.0072,0.0226483
0,25,52.1978,0.0123316
0,26,6.92375e-310,6.95269e-310
0,27,52.0588,0.0184292
0,28,52.4776,0.0100997
0,29,53.5099,0.0128722
0,30,52.1407,0.0161213
0,31,50.9876,0.0189845
0,36,50.7989,0.0260693
0,37,51.089,0.0268833
0,38,51.0566,0.0321629
0,39,52.0199,0.0145534
0,40,51.0433,0.0113877
0,41,6.92375e-310,6.95269e-310
0,42,51.7558,0.0141752
0,43,51.5417,0.0219574
0,44,51.7718,0.0158387
0,45,6.92375e-310,6.95269e-310
0,46,51.2118,0.0261993
0,47,6.92375e-310,6.95269e-310
0,52,51.8547,0.0180885
0,53,6.92375e-310,6.95269e-310
0,54,6.92375e-310,6.95269e-310
0,55,52.3528,0.0139663
0,56,6.92375e-310,6.95269e-310
0,57,51.1986,0.0252003
0,58,51.9935,0.0166341
0,59,52.3998,0.010151
0,60,50.8106,0.0351945
0,61,51.1859,0.020616
0,62,6.92375e-310,6.95269e-310
0,63,51.2742,0.0280054
1,4,51.3871,0.0313512
1,5,51.8716,0.0200831
1,6,51.96,0.0124822
1,7,50.7628,0.0290205
1,8,51.5062,0.0252185
1,9,51.7405,0.0174204
1,10,51.4681,0.0192811
1,11,6.92375e-310,6.95269e-310
1,12,51.0891,0.0195267
1,13,52.3436,0.0116285
1,14,6.92375e-310,6.95269e-310
1,15,51.8289,0.0150546
1,20,6.92375e-310,6.95269e-310
1,21,6.92375e-310,6.95269e-310
1,22,6.92375e-310,6.95269e-310
1,23,6.92375e-310,6.95269e-310
1,24,6.92375e-310,6.95269e-310
1,25,6.92375e-310,6.95269e-310
1,26,50.6397,0.0549847
1,27,52.6135,0.0240883
1,28,50.3526,0.0690716
1,29,53.4731,0.00329089
1,30,6.92375e-310,6.95269e-310
1,31,51.1169,0.0584226
1,36,6.92375e-310,6.95269e-310
1,37,6.92375e-310,6.95269e-310
1,38,6.92375e-310,6.95269e-310
1,39,6.92375e-310,6.95269e-310
1,40,6.92375e-310,6.95269e-310
1,41,6.92375e-310,6.95269e-310
1,42,52.7527,0.000199729
1,43,6.92375e-310,6.95269e-310
1,44,6.92375e-310,6.95269e-310
1,45,6.92375e-310,6.95269e-310
1,46,6.92375e-310,6.95269e-310
1,47,6.92375e-310,6.95269e-310
1,52,6.92375e-310,6.95269e-310
1,53,6.92375e-310,6.95269e-310
1,54,6.92375e-310,6.95269e-310
1,55,50.8238,0.170559
1,56,6.92375e-310,6.95269e-310
1,57,51.7225,0.3149
1,58,6.92375e-310,6.95269e-310
1,59,6.92375e-310,6.95269e-310
1,60,6.92375e-310,6.95269e-310
1,61,6.92375e-310,6.95269e-310
1,62,6.92375e-310,6.95269e-310
1,63,6.92375e-310,6.95269e-310
2,4,6.92375e-310,6.95269e-310
2,5,6.92375e-310,6.95269e-310
2,6,52.652,0.000816181
2,7,6.92375e-310,6.95269e-310
2,8,6.92375e-310,6.95269e-310
2,9,6.92375e-310,6.95269e-310
2,10,6.92375e-310,6.95269e-310
2,11,6.92375e-310,6.95269e-310
2,12,6.92375e-310,6.95269e-310
2,13,6.92375e-310,6.95269e-310
2,14,6.92375e-310,6.95269e-310
2,15,6.92375e-310,6.95269e-310
2,20,6.92375e-310,6.95269e-310
2,21,6.92375e-310,6.95269e-310
2,22,6.92375e-310,6.95269e-310
2,23,6.92375e-310,6.95269e-310
2,24,52.143,0.000631554
2,25,52.3215,0.000346304
2,26,52.5142,0.000107099
2,27,52.5202,6.90043e-05
2,28,6.92375e-310,6.95269e-310
2,29,6.92375e-310,6.95269e-310
2,30,6.92375e-310,6.95269e-310
2,31,6.92375e-310,6.95269e-310
2,36,52.2972,0.000493882
2,37,6.92375e-310,6.95269e-310
2,38,6.92375e-310,6.95269e-310
2,39,6.92375e-310,6.95269e-310
2,40,6.92375e-310,6.95269e-310
2,41,6.92375e-310,6.95269e-310
2,42,6.92375e-310,6.95269e-310
2,43,6.92375e-310,6.95269e-310
2,44,6.92375e-310,6.95269e-310
2,45,52.4979,1.49351e-05
2,46,52.3273,0.000361217
2,47,6.92375e-310,6.95269e-310
2,52,6.92375e-310,6.95269e-310
2,53,6.92375e-310,6.95269e-310
2,55,6.92375e-310,6.95269e-310
2,56,52.1469,0.0010534
2,57,6.92375e-310,6.95269e-310
2,58,52.4109,0.000253922
2,59,6.92375e-310,6.95269e-310
2,60,52.4925,2.92183e-05
2,61,6.92375e-310,6.95269e-310
2,62,6.92375e-310,6.95269e-310
2,63,6.92375e-310,6.95269e-310
3,4,6.92375e-310,6.95269e-310
3,5,52.4959,1.82494e-05
3,6,6.92375e-310,6.95269e-310
3,7,6.92375e-310,6.95269e-310
3,8,6.92375e-310,6.95269e-310
3,9,6.92375e-310,6.95269e-310
3,10,6.92375e-310,6.95269e-310
3,11,6.92375e-310,6.95269e-310
3,12,6.92375e-310,6.95269e-310
3,13,6.92375e-310,6.95269e-310
3,14,6.92375e-310,6.95269e-310
3,15,6.92375e-310,6.95269e-310
3,20,6.92375e-310,6.95269e-310
3,21,6.92375e-310,6.95269e-310
3,22,6.92375e-310,6.95269e-310
3,23,6.92375e-310,6.95269e-310
3,24,6.92375e-310,6.95269e-310
3,25,6.92375e-310,6.95269e-310
3,26,6.92375e-310,6.95269e-310
3,27,6.92375e-310,6.95269e-310
3,28,6.92375e-310,6.95269e-310
3,29,6.92375e-310,6.95269e-310
3,30,6.92375e-310,6.95269e-310
3,31,6.92375e-310,6.95269e-310
3,36,6.92375e-310,6.95269e-310
3,37,55.3531,0.0177243
3,38,6.92375e-310,6.95269e-310
3,39,6.92375e-310,6.95269e-310
3,40,6.92375e-310,6.95269e-310
3,41,52.4733,6.39695e-05
3,42,6.92375e-310,6.95269e-310
3,43,6.92375e-310,6.95269e-310
3,44,6.92375e-310,6.95269e-310
3,45,6.92375e-310,6.95269e-310
3,47,6.92375e-310,6.95269e-310
3,52,6.92375e-310,6.95269e-310
3,53,6.92375e-310,6.95269e-310
3,54,6.92375e-310,6.95269e-310
3,55,6.92375e-310,6.95269e-310
3,56,6.92375e-310,6.95269e-310
3,57,6.92375e-310,6.95269e-310
3,58,6.92375e-310,6.95269e-310
3,59,6.92375e-310,6.95269e-310
3,60,6.92375e-310,6.95269e-310
3,62,6.92375e-310,6.95269e-310
3,63,6.92375e-310,6.95269e-310
4,4,6.92375e-310,6.95269e-310
4,5,6.92375e-310,6.95269e-310
4,6,6.92375e-310,6.95269e-310
4,7,6.92375e-310,6.95269e-310
4,8,52.515,5.46067e-05
4,9,52.5141,6.30193e-05
